2	168	134
40	270	31
20	184	114
0	281	171
19	25	165
48	410	416
44	204	227
9	177	71
18	115	190
39	235	37
27	282	91
23	346	62
15	156	380
46	44	423
44	204	205
29	271	370
18	115	356
24	122	136
36	122	216
11	466	92
20	184	62
16	124	298
47	403	189
8	18	357
46	44	143
18	115	109
8	18	416
33	29	374
42	381	271
31	2	214
8	18	186
24	122	166
31	2	141
42	381	233
6	280	257
40	270	224
24	122	355
47	403	451
29	271	370
12	161	328
5	347	100
49	344	31
30	382	406
32	454	380
36	122	369
1	362	64
25	355	145
12	161	429
0	281	134
6	280	204
9	177	158
2	168	259
35	46	302
31	2	428
27	282	175
48	410	481
24	122	165
28	290	143
43	170	55
43	170	282
44	204	290
5	347	32
36	122	45
12	161	140
10	499	279
0	281	93
37	314	458
33	29	267
1	362	289
13	389	203
5	347	5
31	2	280
48	410	206
41	366	25
28	290	160
19	25	480
30	382	285
25	355	241
38	184	164
34	86	114
27	282	397
38	184	124
2	168	264
5	347	3
30	382	394
27	282	417
34	86	318
45	488	9
22	341	206
11	466	14
33	29	490
22	341	209
0	281	335
44	204	306
21	464	265
30	382	213
1	362	133
13	389	360
14	359	257
15	156	21
30	382	253
21	464	287
10	499	456
21	464	405
36	122	269
33	29	314
30	382	253
42	381	247
9	177	496
18	115	169
36	122	136
30	382	21
0	281	189
46	44	337
16	124	276
36	122	346
24	122	400
39	235	345
48	410	71
34	86	234
12	161	386
33	29	78
29	271	357
4	73	225
18	115	334
0	281	425
42	381	405
31	2	99
13	389	349
48	410	50
15	156	402
42	381	450
29	271	394
5	347	498
3	138	358
11	466	411
41	366	124
17	399	370
40	270	287
42	381	495
37	314	230
29	271	382
42	381	232
43	170	429
13	389	29
0	281	177
42	381	165
24	122	198
18	115	378
19	25	226
9	177	184
43	170	255
10	499	117
43	170	29
23	346	121
49	344	106
11	466	467
33	29	213
22	341	481
44	204	363
19	25	366
39	235	52
3	138	482
46	44	220
26	234	412
3	138	375
20	184	324
31	2	345
8	18	17
44	204	41
17	399	10
13	389	62
31	2	390
18	115	387
41	366	217
33	29	106
40	270	341
17	399	71
35	46	70
29	271	320
37	314	389
17	399	55
43	170	143
22	341	212
19	25	240
38	184	412
38	184	46
4	73	416
38	184	479
40	270	306
14	359	120
30	382	138
24	122	286
16	124	25
21	464	360
16	124	151
16	124	39
30	382	146
44	204	294
34	86	6
