0	computer vision word174 word814 word215 word1802 word76 word1072 word664 word1704 word319 word674 word667
1	information retrieval word3 word872 word175 word1195 word139 word630 word896 word1810 word185 word284 word1580 word42 word1822 word1146 word530 word1675 word1537
2	text classification word1602 word413 word1217 word1054 word1618 word630 word796 word1538 word1025 word1369 word1276 word1333 word1780 word972 word1336 word749 word63 word1508 word362 word1640
3	recommendation systems word1316 word340 word673 word782 word146 word913 word1146 word672 word378 word176 word1256 word25 word703 word458 word1063 word1447 word1818 word1277 word1983 word1928 word1259 word466 word967 word355 word1983 word888 word1503 word88 word269 word386 word512 word704 word543 word868 word840 word217 word125 word710 word177
4	machine learning word1591 word754 word1093 word1270 word58 word644 word1911 word66 word1123 word828 word47 word1272 word327 word1926 word128 word1739 word287 word1337 word1488 word1649 word1255 word1516 word774
5	information retrieval word1827 word1544 word582 word1671 word736 word1069 word675 word239 word333 word1178 word864 word1482 word909 word41 word899 word1476 word1440 word1422 word902
6	machine learning word317 word649 word1033 word1113 word687 word209 word1452 word449 word1140 word185 word1859 word486 word1772 word529 word86 word1001 word1912 word1010 word1516 word1782 word34 word536 word461
7	reinforcement learning word167 word1109 word266 word1781 word1870 word270 word1803 word984 word796 word56 word1427 word1656 word1734 word681 word1828 word1680 word1849 word1219 word11 word1587 word1202 word1940 word686 word1169 word1382 word721 word921 word1915 word1711
8	reinforcement learning word433 word898 word1622 word384 word1994 word764 word1612 word1683 word750 word530 word1848 word1712 word752 word138 word591 word1816 word1005 word1210 word109 word761
9	speech recognition word597 word931 word1531 word1412 word485 word890 word1681 word1125 word688 word1897 word910 word1149 word1846 word674 word97 word246 word856 word992 word263 word1070 word940 word1083 word651 word739 word1883 word1195 word64 word1008
10	question answering word1548 word577 word1160 word1962 word641 word773 word1375 word125 word506 word336 word832 word849 word1214 word993 word329 word93 word1049 word1527 word1853 word1679 word605 word1731 word934 word564 word184 word885 word1089 word558 word390 word1881 word135 word1878 word812 word1583 word221 word1140 word1523 word872 word712
11	information retrieval word388 word423 word482 word75 word1820 word146 word1854 word21 word1312 word1093 word83 word1882 word1461 word1758 word871 word582 word371 word225 word1341 word1643 word424 word51 word723 word305 word449
12	text classification word1324 word869 word1120 word780 word1967 word993 word85 word278 word1462 word1825 word251 word920 word1724 word1103 word34 word1041 word577
13	speech recognition word1873 word211 word1659 word1506 word1185 word649 word165 word1337 word1918 word359 word252 word950 word1702 word10 word1577 word172
14	neural networks word292 word915 word1873 word1322 word119 word303 word922 word180 word1336 word717 word1912
15	natural language processing word1633 word470 word862 word1343 word178 word19 word654 word801 word1573 word1629 word115 word129 word1849 word576 word250 word1585 word1569 word1209 word1534 word1719 word1706 word526 word841 word1968 word735 word1252 word1693 word1753 word1205 word699 word1380 word6 word701 word1517 word1293 word159
16	information retrieval word1220 word889 word209 word1192 word1491 word397 word1269 word141 word410 word716 word1556 word566 word1780 word1966 word326 word53 word1457 word1528 word1801 word1344 word1560 word731 word201 word1999 word1209 word540 word1785 word147 word113 word509 word260 word821 word1242
17	text classification word1728 word1332 word241 word1832 word573 word1602 word1732 word1965 word616 word1913 word10 word1677 word1238 word1864 word881 word776 word1856 word1789 word1885 word360 word1808 word774 word830 word479 word8 word834
18	neural networks word349 word533 word336 word1767 word1656 word129 word47 word1582 word787 word1136 word1276 word1087 word375 word620 word1194 word1568 word676 word45 word290 word569 word1922 word853 word994 word845 word1732 word1601 word307 word1332 word1099 word1795 word125 word1156 word379 word1138 word1634
19	text classification word1877 word149 word1661 word432 word878 word1877 word1851 word1402 word416 word71 word1710 word1050 word1956 word101 word823 word1462 word944 word768 word1323 word1285 word809 word857 word1360
20	machine learning word431 word1313 word1287 word1564 word1322 word603 word1020 word1411 word567 word1689 word1067 word1690
21	text classification word183 word1709 word4 word1160 word1418 word1039 word1193 word1327 word202 word1820 word492 word1597 word1102 word58 word592 word1505 word746 word1480 word1666 word1527 word1995 word1304 word1941 word397 word79 word104 word193 word1604 word1508 word1326 word1808 word1953 word1236 word463 word767 word271 word1359 word198 word1872
22	text classification word1511 word1759 word1591 word995 word630 word1209 word1688 word1570 word1796 word1297 word534 word1352 word352 word204 word1425 word105 word1031 word1547 word738 word81 word294 word1298 word1370 word798 word1618 word1542 word1761 word1017 word1308 word1543 word971 word1337 word941 word553 word1974 word1009 word877 word133 word1493
23	recommendation systems word792 word94 word858 word832 word176 word654 word927 word223 word1427 word705 word640 word476 word1400 word1389 word1843 word952 word1537 word1177 word682 word467 word369 word1306 word404 word1354 word937 word1278 word28 word1892 word1858 word538 word1870 word1088 word1348 word691 word1590 word236 word257 word1034
24	recommendation systems word1030 word799 word999 word1597 word366 word457 word1395 word1474 word233 word146 word1019 word751 word391 word179 word242 word349 word164 word130 word1636 word1309 word896 word1460 word1899 word1429 word829 word187 word598 word1015 word752
25	reinforcement learning word735 word126 word1211 word242 word888 word1000 word65 word409 word574 word1405 word303 word1209 word721 word1068 word1731 word1231 word1676 word415 word481 word951 word443 word624 word1553 word393 word964 word661 word1252 word926 word1820 word872 word1827 word158 word787 word931 word197 word1743 word1688
26	question answering word1127 word1060 word466 word114 word1392 word1579 word888 word1219 word1214 word1554 word349 word1040 word1816 word834 word1472 word165 word771 word126 word931 word1265 word269 word336
27	question answering word256 word1929 word1596 word831 word320 word536 word464 word1632 word593 word1176 word98 word1734 word1858 word1535 word1222 word51 word316 word666 word1331 word322 word79 word486 word694 word167 word1825 word870 word189 word1112 word101 word1314 word1308 word828
28	natural language processing word1343 word341 word1529 word1163 word1475 word1914 word1230 word621 word863 word1202 word1828 word287 word457 word1488
29	recommendation systems word1011 word1978 word1175 word1887 word394 word1058 word464 word1792 word237 word605 word354 word32 word1438 word1254 word1336 word462 word1275 word463 word1240 word1839 word1990 word155 word536 word1123 word532 word1930 word1234 word1963 word17 word1423 word181 word1025 word1954 word142 word929
30	neural networks word872 word620 word1521 word1274 word282 word668 word882 word1496 word935 word604 word1393 word959 word701 word1702 word461 word716 word1851 word508 word1148 word184 word18 word1427 word748 word900 word774 word356
31	reinforcement learning word413 word906 word287 word1556 word1096 word1473 word856 word755 word516 word1146 word1671 word1944 word790 word1404 word1374
32	natural language processing word1967 word450 word1195 word309 word1198 word889 word1426 word640 word1422 word1305
33	recommendation systems word1964 word108 word45 word266 word541 word983 word1339 word1306 word318 word1061 word346 word553 word802 word948 word763 word838 word1947 word1388 word650 word270
34	recommendation systems word1999 word604 word184 word732 word1928 word555 word1531 word1086 word962 word80 word478 word928 word856 word205 word988 word1819 word1242
35	reinforcement learning word1953 word262 word386 word39 word1918 word144 word1075 word960 word1253 word582 word1864 word648 word784 word1255 word397 word1244 word1653 word69 word1355 word1763 word1252 word598 word1721 word573 word1077 word782 word252 word305 word1899
36	natural language processing word1914 word212 word876 word112 word1502 word739 word1515 word1129 word1296 word781 word1451 word1498 word1311 word342 word391 word1536 word1718 word606 word823 word885 word1251 word405 word661 word1845 word1167 word1531 word508 word1252 word738 word1168
37	recommendation systems word994 word129 word265 word1279 word1480 word1333 word786 word986 word421 word657 word419 word456 word1745 word253 word495
38	question answering word1027 word757 word380 word10 word1477 word1266 word1930 word1212 word454 word1818 word320 word107 word996 word674
39	speech recognition word794 word1925 word129 word1950 word1297 word760 word1905 word362 word1152 word349 word450 word1070 word1167 word1362 word370 word874 word683 word916 word1563 word219 word995 word1249 word1389 word802 word327 word1903 word264 word1294 word1760 word484 word1503
40	machine learning word72 word1013 word954 word1105 word1384 word1471 word995 word957 word1972 word1244 word229 word217 word127 word1484 word1694 word1322 word144 word1830 word1168 word461 word1111 word498 word490 word170
41	question answering word612 word484 word8 word514 word1834 word1941 word231 word1028 word623 word1607 word1404 word1416 word157 word1340 word1040 word1585 word792 word735
42	recommendation systems word1720 word418 word873 word77 word1564 word110 word215 word1800 word781 word1046 word1398 word1434 word20 word1098 word1326 word1923 word1455 word305 word1907 word1714
43	information retrieval word1246 word1158 word1392 word1710 word125 word1876 word893 word1730 word548 word1002 word523 word1331 word1601 word926 word245 word929 word275 word1980 word1242 word1074 word1189 word618 word1480 word1804 word1767 word1265 word1739 word1150
44	information retrieval word396 word448 word1295 word629 word187 word1750 word496 word790 word1398 word618 word1072 word1826 word1410 word562 word1755 word1182 word1466 word1450 word215
45	information retrieval word277 word1772 word277 word1342 word922 word1914 word1721 word548 word1603 word170 word1224 word1677 word1865 word675 word631 word1373 word591 word493 word1956 word1133 word107 word1048 word741 word1544 word1261 word523 word1688 word587 word1340 word430 word142
46	information retrieval word1024 word1369 word262 word368 word161 word712 word470 word1902 word1628 word1504 word15 word1007 word15 word1432 word876 word342
47	computer vision word598 word1908 word111 word1789 word1956 word1767 word451 word1710 word728 word1684 word284 word1971 word1786 word1491 word1660 word1148 word386 word919 word336
48	text classification word295 word290 word1925 word1107 word1095 word1068 word1036 word118 word179 word929 word958 word1641 word1936 word1675 word1023 word363 word843 word973 word49 word1386 word1977 word515 word1783 word767 word1262 word1486 word1152 word1071 word346 word1806 word1572 word999 word804 word278 word1219 word1568
49	text classification word919 word565 word283 word224 word451 word1169 word1403 word1760 word1779 word742 word1444 word406 word999 word1926 word817 word1529 word1510 word1642 word1195 word1506 word1910 word908 word413 word763 word1135 word1205 word691 word1307 word395 word438 word1557 word1283 word1618 word1061 word1486 word346 word824 word1508
50	information retrieval word1169 word10 word1118 word870 word163 word652 word783 word1942 word1777 word1149 word695 word620 word935 word1531 word988 word305 word1480 word362 word185 word864 word174 word413 word1467 word1405 word1668 word1813 word1982 word1213 word1854 word201 word620 word732 word1502
51	information retrieval word616 word337 word953 word1709 word78 word574 word778 word1307 word1080 word714 word170 word519 word144 word434 word1065 word1801 word1897 word1375 word919 word89 word567 word1767 word1093 word544 word360 word380 word1585 word1868
52	speech recognition word491 word337 word540 word1235 word104 word676 word1039 word63 word961 word1789 word731 word711 word646 word1099 word728 word1196 word1466 word231 word1345 word1808 word356 word1954 word508 word1024
53	natural language processing word944 word1415 word1500 word1122 word1143 word1745 word647 word986 word1227 word1725 word848 word711 word987 word1708 word1172 word1289 word1794 word1108 word1064 word582
54	recommendation systems word137 word574 word248 word1918 word714 word1922 word1255 word1408 word1261 word1328 word429 word154 word221 word1851 word1307 word109 word879 word1398 word1030 word1789 word120 word427 word319 word92 word1378 word1986 word1094 word315 word237 word676 word1074 word1642 word470 word1617 word689 word643 word279 word1853 word1718
55	computer vision word1222 word129 word1268 word1071 word35 word1462 word177 word308 word1764 word1417 word1639 word819 word108
56	neural networks word1258 word35 word778 word1680 word378 word1034 word1725 word164 word591 word109 word936 word1078 word918 word623 word184 word841 word1488
